2013-01-11T10:15:00Z,36,METER EXPIRED CC,260783,NJ,2906004,19102
2013-01-11T07:08:00Z,76,STOP PROHIBITED CC,260783,NJ,2906005,19103
2013-01-12T08:54:00Z,36,METER EXPIRED CC,260783,NJ,2906006,19103
2013-01-15T11:24:00Z,51,LOADING ZONE   CC,260783,NJ,2906007,19103
2013-01-12T17:11:00Z,36,METER EXPIRED CC,260783,NJ,2906008,
2013-01-19T10:11:00Z,36,METER EXPIRED CC,260783,NJ,2906009,19103
2013-01-19T08:49:00Z,36,METER EXPIRED CC,260783,NJ,2906010,19103
2013-01-19T14:07:00Z,36,METER EXPIRED CC,260783,NJ,2906011,19103
2013-02-02T08:46:00Z,36,METER EXPIRED CC,260783,NJ,2906012,19103
2013-02-09T12:42:00Z,36,METER EXPIRED CC,260783,NJ,2906013,19103
2013-10-26T18:36:00Z,36,METER EXPIRED CC,397348,NJ,2906014,19107
2013-11-01T11:03:00Z,36,METER EXPIRED CC,397348,NJ,2906015,19107
2013-11-02T20:40:00Z,36,METER EXPIRED CC,397348,NJ,2906016,19107
2013-01-10T21:00:00Z,36,METER EXPIRED CC,397348,NJ,2906017,19107
2013-01-28T21:16:00Z,36,METER EXPIRED CC,397348,NJ,2906018,19107
2013-03-22T17:40:00Z,36,METER EXPIRED CC,397348,NJ,2906019,
2013-06-17T19:42:00Z,36,METER EXPIRED CC,397348,NJ,2906020,19147
2013-07-23T21:25:00Z,36,METER EXPIRED CC,397348,NJ,2906021,19107
2013-07-26T08:14:00Z,36,METER EXPIRED CC,397348,NJ,2906022,19107
2013-08-30T21:35:00Z,36,METER EXPIRED CC,397348,NJ,2906023,19107
2013-09-14T09:45:00Z,76,STOP PROHIBITED CC,397348,NJ,2906024,
2013-01-10T18:50:00Z,36,METER EXPIRED CC,1328993,PA,2906025,19102
2013-01-10T17:42:00Z,76,STOP PROHIBITED CC,1328993,PA,2906026,
2013-01-28T17:23:00Z,51,STOPPING PROHIBITED,1328993,PA,2906027,19121
2013-05-16T13:05:00Z,51,BUS ONLY ZONE,1328993,PA,2906028,19121
2013-05-31T18:40:00Z,76,FIRE HYDRANT,1328993,PA,2906029,19145
2013-12-03T10:51:00Z,76,STOP PROHIBITED CC,1328993,PA,2906030,19102
2013-10-16T11:32:00Z,41,EXPIRED INSPECTION,1132897,PA,2906031,
2013-01-11T15:07:00Z,36,METER EXPIRED CC,1132897,PA,2906032,19107
2013-03-04T15:43:00Z,76,STOP PROHIBITED CC,1132897,PA,2906033,
2013-05-04T11:32:00Z,36,METER EXPIRED CC,1132897,PA,2906034,19107
2013-07-16T13:27:00Z,36,METER EXPIRED CC,1687997,PA,2906035,19107
2013-08-14T11:16:00Z,51,PARKING PROHBITED CC,1687997,PA,2906036,19107
2013-09-14T09:51:00Z,51,SIDEWALK,1687997,PA,2906037,19146
2013-10-24T09:10:00Z,76,STOP PROHIBITED CC,1687997,PA,2906038,19107
2013-10-30T21:56:00Z,51,STOPPING PROHIBITED,1687997,PA,2906039,19146
2013-01-11T13:22:00Z,36,METER EXPIRED CC,1687997,PA,2906040,19103
2013-02-11T13:15:00Z,36,METER EXPIRED CC,1687997,PA,2906041,19107
2013-02-18T11:14:00Z,36,METER EXPIRED CC,1687997,PA,2906042,19107
2013-02-22T15:15:00Z,36,METER EXPIRED CC,1687997,PA,2906043,19107
2013-03-08T10:57:00Z,36,METER EXPIRED CC,1687997,PA,2906044,19107
2013-03-25T15:34:00Z,36,METER EXPIRED CC,1687997,PA,2906045,19107
2013-04-02T14:19:00Z,36,METER EXPIRED CC,1687997,PA,2906046,19103
2013-04-05T10:53:00Z,36,METER EXPIRED CC,1687997,PA,2906047,19103
2013-04-19T13:17:00Z,36,OVER TIME LIMIT CC,1687997,PA,2906048,19146
2013-06-03T20:01:00Z,26,OVER TIME LIMIT,1687997,PA,2906049,19146
2013-10-21T14:20:00Z,26,METER EXPIRED,1319155,PA,2906050,19127
2013-11-15T08:38:00Z,301,HP RESERVED SPACE,1319155,PA,2906051,
2013-01-11T10:42:00Z,36,METER EXPIRED CC,1319155,PA,2906052,19103
2013-03-20T13:34:00Z,26,METER EXPIRED,1319155,PA,2906053,19127
2013-03-26T14:09:00Z,26,METER EXPIRED,1319155,PA,2906054,19127
2013-04-06T22:58:00Z,76,STOP PROHIBITED CC,1319155,PA,2906055,19103
2013-05-15T15:11:00Z,26,METER EXPIRED,1319155,PA,2906056,19127
2013-05-31T12:31:00Z,76,FIRE HYDRANT,1319155,PA,2906057,19127
